Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Survival
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,1,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,2,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,3,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,7,4,0.875
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,2,5,0.25
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,1,6,0.125
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,0,7,0
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,,B,42000,Kansas,8,0,8,0
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,1,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,2,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,3,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,4,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,5,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,6,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,7,1
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,7,8,0.875
