Citation,Location,Vector_Species,Temperature_C,Virus_Genotype,Days_Post_Infection,Virus_Received_From,Receiving_Dose,Log_Dose,Receiving_Host,Sample_Size,Percent_Infected,Number_Infected
Bolling et al 2012,"Fort Collins, Colorado",Culex pipiens,28,C,14,Sheep Blood,10000000,7,Immersion Oil,24,0.791666666666667,19
Ciota et al 2013,Pennsylvania,Culex pipiens,27,C,14,Bovine Blood,1584893192.46111,9.2,Vero cells,70,0.836,57
Ciota et al 2013,Pennsylvania,Culex quinquefasciatus,27,C,14,Bovine Blood,1584893192.46111,9.2,Vero cells,70,1,70
Ciota et al 2013,Pennsylvania,Culex molestus,27,C,14,Bovine Blood,1584893192.46111,9.2,Vero cells,70,0.931,65
Dodson et al. 2011,Pennsylvania,Culex tarsalis,27,C,14,Goose Blood,1584893192.46111,9.2,Vero cells,25,0.92,23
Dodson et al. 2011,Pennsylvania,Culex tarsalis,27,C,14,Goose Blood,1000000000,9,Vero cells,50,0.72,36
Dodson et al. 2011,Pennsylvania,Culex tarsalis,27,C,14,Goose Blood,630957344.480194,8.8,Vero cells,50,0.88,44
Dodson et al. 2014,Yolo,Culex tarsalis,27,C,14,Bovine Blood,55000000,7.74036268949424,Vero cells,35,0.42685,15
Ebel et al 2005,California,Culex pipiens,27,B,14,Goose Blood,50118723.3627272,7.7,Vero cells,795,0.141,112
Ebel et al 2005,California,Culex restuans,27,B,14,Goose Blood,50118723.3627272,7.7,Vero cells,402,0.11,44
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,1,1,1
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,35,0.74,26
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,55,0.85,47
Goddard et al 2002,California,Culex quinquefasciatus,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,50,0.58,29
Goddard et al 2002,California,Culex quinquefasciatus,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,58,0.28,16
Goddard et al 2002,California,Culex quinquefasciatus,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,50,0.66,33
Goddard et al 2002,California,Culex pipiens,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,31,1,31
Goddard et al 2002,California,Culex stigmatosoma,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,48,0.77,37
Goddard et al 2002,California,Culex erythrothorax,28,B,14,Rabbit Blood,12589254.1179417,7.1,Vero cells,25,1,25
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,11,0.36,4
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,45,0.07,3
Goddard et al 2002,California,Culex tarsalis,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,10,0,0
Goddard et al 2002,California,Culex quinquefasciatus,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,50,0.1,5
Goddard et al 2002,California,Culex quinquefasciatus,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,55,0,0
Goddard et al 2002,California,Culex pipiens,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,35,0.23,8
Goddard et al 2002,California,Culex stigmatosoma,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,29,0.69,20
Goddard et al 2002,California,Culex erythrothorax,28,B,14,Rabbit Blood,79432.8234724282,4.9,Vero cells,20,0.15,3
Hanley et al 2005,California,Culex tarsalis,28,B,14,Rabbit Blood,3300000,6.51851393987789,Vero cells,40,0.46,18
Reisen et al 2005,Coachella-WWDC,Culex tarsalis,26,B,14,House Finch,251188.643150958,5.4,Vero cells,21,0.9,19
Reisen et al 2005,LA-Panaorama,Culex tarsalis,26,B,14,House Finch,794328.234724282,5.9,Vero cells,16,0.94,15
Reisen et al 2005,Kern-KNWR,Culex tarsalis,26,B,14,House Sparrow,251188.643150958,5.4,Vero cells,17,0.94,16
Reisen et al 2005,KNWR-c,Culex tarsalis,26,B,14,House Sparrow,19952623.1496888,7.3,Vero cells,40,1,40
Reisen et al 2005,KNWR-c,Culex tarsalis,26,B,14,Chicken,1000000,6,Vero cells,40,0.2,8
Reisen et al 2005,Kern-Bakersfield,Culex tarsalis,26,B,14,Chicken,501187.233627272,5.7,Vero cells,16,0.13,2
Reisen et al 2005,Coachella-Indio,Culex quinquefasciatus,26,B,14,Chicken,100000,5,Vero cells,25,0.64,16
Reisen et al 2005,LA-metro,Culex quinquefasciatus,26,B,14,Chicken,316227.766016838,5.5,Vero cells,25,0.6,15
Reisen et al 2005,Kern-Bakersfield,Culex quinquefasciatus,26,B,14,Chicken,501187.233627272,5.7,Vero cells,25,0.4,10
Reisen et al 2005,Kern-Bakersfield,Culex quinquefasciatus,26,B,14,Chicken,63095.7344480193,4.8,Vero cells,25,0.04,1
Reisen et al 2005,Coachella-WWDC,Culex tarsalis,26,B,14,Avian Blood,6309573.44480193,6.8,Vero cells,22,0.68,15
Reisen et al 2005,Coachella-Indio,Culex tarsalis,26,B,14,Avian Blood,1995262.31496888,6.3,Vero cells,25,0.36,9
Reisen et al 2005,LA-Panaorama,Culex tarsalis,26,B,14,Avian Blood,630957.344480193,5.8,Vero cells,24,0.38,9
Reisen et al 2005,Kern-KNWR,Culex tarsalis,26,B,14,Avian Blood,3981071.70553497,6.6,Vero cells,15,0.07,1
Reisen et al 2005,Kern-Bakersfield,Culex tarsalis,26,B,14,Avian Blood,6309573.44480193,6.8,Vero cells,15,0.47,7
Reisen et al 2005,Yolo,Culex tarsalis,26,B,14,Avian Blood,3981071.70553497,6.6,Vero cells,19,0.47,9
Reisen et al 2005,COAV-c,Culex tarsalis,26,B,14,Avian Blood,3981071.70553497,6.6,Vero cells,18,0.89,16
Reisen et al 2005,KNWR-c,Culex tarsalis,26,B,14,Avian Blood,3981071.70553497,6.6,Vero cells,25,0.56,14
Reisen et al 2005,Coachella,Culex quinquefasciatus,26,B,14,Avian Blood,19952623.1496888,7.3,Vero cells,25,0.44,11
Reisen et al 2005,LA-metro,Culex quinquefasciatus,26,B,14,Avian Blood,19952623.1496888,7.3,Vero cells,24,0.76,18
Reisen et al 2005,LA-Machado Lake,Culex quinquefasciatus,26,B,14,Avian Blood,19952623.1496888,7.3,Vero cells,25,0.67,17
Reisen et al 2005,LA-San Fernando,Culex quinquefasciatus,26,B,14,Avian Blood,19952623.1496888,7.3,Vero cells,19,0.44,8
