Source,Location,Vector_Species,Host_Species,Mammal_used,Date,Feeding_Preference_Mean,Feeding_Preference_SD,Feeding_Preference_SE,0.025_Confidence_Interval,97.5_Confidence_Interval
Simpson et al. 2012,"East Haven, CT",Culex pipiens,American robin,Y,June-October,6.7,,,2,18.9
Simpson et al. 2012,"New Haven, CT",Culex pipiens,American robin,Y,June-October,8.53,,,5.49,16.05
Simpson et al. 2012,"Stratford, CT",Culex pipiens,American robin,Y,June-October,31.89,,,14.52,47.14
Simpson et al. 2012,"West Haven, CT",Culex pipiens,American robin,Y,June-October,24.83,,,1192,98
Kilpatrick et al. 2006,"The Mall, DC",Culex pipiens,American robin,Y,May-September,30.934,,,19.855,
Kilpatrick et al. 2006,"Baltimore, MD",Culex pipiens,American robin,Y,May-September,15.346,,,5.927,26.941
Kilpatrick et al. 2006,"Foggy Bottom, DC",Culex pipiens,American robin,Y,May-September,6.342,,,4.072,8.575
Kilpatrick et al. 2006,"Bethesda, MD",Culex pipiens,American robin,Y,May-September,9.125,,,3.809,15.661
Kilpatrick et al. 2006,"Takoma Park, MD",Culex pipiens,American robin,Y,May-September,22.619,,,14.151,28.791
Kilpatrick et al. 2006,"The Mall, DC",Culex pipiens,House sparrow,Y,May-September,0.411861614497529,,,0.268456375838926,0.700770847932726
Kilpatrick et al. 2006,"Baltimore, MD",Culex pipiens,House sparrow,Y,May-September,0.154655119084442,,,0.025566293398783,0.355492356914326
Kilpatrick et al. 2006,"Foggy Bottom, DC",Culex pipiens,House sparrow,Y,May-September,0.0651338500618772,,,0.0248022024355763,0.172771250863856
Kilpatrick et al. 2006,"Bethesda, MD",Culex pipiens,House sparrow,Y,May-September,0.277161862527716,,,0.0688942473303479,0.515463917525773
Kilpatrick et al. 2006,"Takoma Park, MD",Culex pipiens,House sparrow,Y,May-September,0.0869187309865276,,,,
Kilpatrick et al. 2006,"The Mall, DC",Culex pipiens,Gray catbird,Y,May-September,8.677,,,3.044,16.739
Kilpatrick et al. 2006,"Baltimore, MD",Culex pipiens,Gray catbird,Y,May-September,1.646,,,0.630914826498423,5.535
Kilpatrick et al. 2006,"Bethesda, MD",Culex pipiens,Gray catbird,Y,May-September,3.91,,,0.986193293885602,7.83
Kilpatrick et al. 2006,"Takoma Park, MD",Culex pipiens,Gray catbird,Y,May-September,0.551571980143409,,,0.235626767200754,1.507
Kilpatrick et al. 2006,"The Mall, DC",Culex pipiens,Fish crow,Y,May-September,24.652,,,8.535,
Kilpatrick et al. 2006,"Foggy Bottom, DC",Culex pipiens,Fish crow,Y,May-September,10.623,,,3.84615384615385,26.573
Kilpatrick et al. 2006,"The Mall, DC",Culex pipiens,Common grackle,Y,May-September,0.138600138600139,,,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex pipiens,House finch,N,May-October,5.69,,4.58,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex pipiens,American robin,N,May-October,2.26,,0.39,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex pipiens,Blue jay,N,May-October,8.44,,12.88,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex pipiens,House sparrow,N,May-October,0.32,,0.05,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex restuans,House finch,N,May-October,3.42,,2.94,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex restuans,Blue jay,N,May-October,3.08,,5.11,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex restuans,American robin,N,May-October,1.92,,0.36,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex restuans,House sparrow,N,May-October,0.33,,0.06,,
Hamer et al. 2009,Suburban Southwest Chicago,Culex restuans,American crow,N,May-October,1.37,,2.39,,
Estep et al. 2011,"Macon County, AL",Culex erraticus,Acadian flycatcher,N,March-October,0.34,,,-0.32,1
Estep et al. 2011,"Macon County, AL",Culex erraticus,American crow,N,March-October,,,,,
Estep et al. 2011,"Macon County, AL",Culex erraticus,American robin,N,March-October,44.27,,,22.51,66.02
Estep et al. 2011,"Macon County, AL",Culex erraticus,Barred owl,N,March-October,10.08,,,2.84,17.32
Estep et al. 2011,"Macon County, AL",Culex erraticus,Blue grosbeak,N,March-October,4.55,,,-1.7,10.79
