Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,1,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,2,5.84
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,8,3,8.239
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,7,4,8.645
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,2,5,9.369
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,1,6,8.509
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,0,7,
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,42000,Kansas,8,0,8,
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,1,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,2,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,3,2.109
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,4,2.852
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,5,2.935
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,6,2.855
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,8,7,2.334
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,42000,Kansas,8,7,8,
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,1,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,2,2.468
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,3,4.044
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,4,2.788
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,5,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,6,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,7,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kunjin-6453,1998,Australia,A,42000,Kansas,8,8,8,
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,1,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,2,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,3,1.7
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,4,2.766
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,5,3.952
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,6,3.972
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,7,2.626
Brault et al. 2004,American crow,Corvidae,Passeriformes,American crow,Kenya-sub,1998,Kenya,A,42000,Kansas,8,8,8,
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,1,1.7
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,2,1.735
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,3,2.886
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,4,4.695
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,5,5.211
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,6,4.87
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,16,7,3.861
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya,1998,Kenya,A,15000,Kansas,16,15,8,
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,1,1.7
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,2,1.724
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,3,2.343
